,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,-2,yes,-2,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,20,yes,20,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,95,yes,95,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,33,yes,33,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,118,yes,118,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,85,yes,85,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,5,yes,5,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,-1,yes,-1,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,3,yes,3,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,11,yes,11,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,52,yes,52,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,37,yes,37,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,26,yes,26,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,36,yes,36,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,3,yes,3,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,7,yes,7,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,18,yes,18,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,41,yes,41,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,124,yes,124,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,21,yes,21,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,30,yes,30,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,102,yes,102,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,23,yes,23,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,46,yes,46,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,56,yes,56,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,41,yes,41,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,34,yes,34,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,67,yes,67,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,39,yes,39,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,112,yes,112,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,3,yes,3,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr11,Carey2010,2,yes,2,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,16,yes,16,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,40,yes,40,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,56,yes,56,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,5,yes,5,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,70,yes,70,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,26,yes,26,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,56,yes,56,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,32,yes,32,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,2,yes,2,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,37,yes,37,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,39,yes,39,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,131,yes,131,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,85,yes,85,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,3,yes,3,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,29,yes,29,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,35,yes,35,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,17,yes,17,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,21,yes,21,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,22,yes,22,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,23,yes,23,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,27,yes,27,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,23,yes,23,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,3,yes,3,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,-2,yes,-2,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,8,yes,8,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,2,yes,2,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr11,Carey2010,0,yes,0,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr11,Carey2010,5,yes,5,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr11,Carey2010,-1,yes,-1,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr11,Carey2010,-2,yes,-2,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr11,Carey2010,-1,yes,-1,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,-2,yes,-2,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr12,Carey2010,4,yes,4,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-1,yes,-1,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,0,yes,0,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,-2,yes,-2,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,-8,yes,-8,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,-2,yes,-2,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,6,yes,6,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,3,yes,3,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-4,yes,-4,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-2,yes,-2,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,0,yes,0,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-1,yes,-1,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr12,Carey2010,21,yes,21,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr12,Carey2010,38,yes,38,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,2,yes,2,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,0,yes,0,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,-1,yes,-1,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,0,yes,0,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,-1,yes,-1,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,0,yes,0,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr12,Carey2010,-1,yes,-1,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,2,yes,2,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,2,yes,2,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,2,yes,2,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,91,yes,91,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-9,yes,-9,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-13,yes,-13,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,12,yes,12,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,11,yes,11,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-8,yes,-8,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,64,yes,64,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-4,yes,-4,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-9,yes,-9,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-8,yes,-8,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-6,yes,-6,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,0,yes,0,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-2,yes,-2,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,44,yes,44,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,5,yes,5,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,36,yes,36,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,44,yes,44,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-13,yes,-13,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-6,yes,-6,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-7,yes,-7,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,5,yes,5,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,33,yes,33,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,60,yes,60,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,52,yes,52,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,124,yes,124,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,105,yes,105,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-9,yes,-9,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,21,yes,21,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-10,yes,-10,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,130,yes,130,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,88,yes,88,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,75,yes,75,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,156,yes,156,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,111,yes,111,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,82,yes,82,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-1,yes,-1,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-9,yes,-9,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-13,yes,-13,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,227,yes,227,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,74,yes,74,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,18,yes,18,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,179,yes,179,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,67,yes,67,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,180,yes,180,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,177,yes,177,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,174,yes,174,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,66,yes,66,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,139,yes,139,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,107,yes,107,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,110,yes,110,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,66,yes,66,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,166,yes,166,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,147,yes,147,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,0,yes,0,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,151,yes,151,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,46,yes,46,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,105,yes,105,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,131,yes,131,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,5,yes,5,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,139,yes,139,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,181,yes,181,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,214,yes,214,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,185,yes,185,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,17,yes,17,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,101,yes,101,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,96,yes,96,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-9,yes,-9,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,59,yes,59,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-5,yes,-5,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,87,yes,87,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,127,yes,127,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,73,yes,73,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-4,yes,-4,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-9,yes,-9,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,-4,yes,-4,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr12,Carey2010,5,yes,5,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr12,Carey2010,11,yes,11,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr12,Carey2010,1,yes,1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr12,Carey2010,15,yes,15,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,3,yes,3,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,-1,yes,-1,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,-3,yes,-3,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-3,yes,-3,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-7,yes,-7,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-1,yes,-1,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-1,yes,-1,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,2,yes,2,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr13,Carey2010,5,yes,5,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,-7,yes,-7,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,7,yes,7,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-5,yes,-5,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr13,Carey2010,4,yes,4,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-1,yes,-1,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-9,yes,-9,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-3,yes,-3,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-3,yes,-3,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-10,yes,-10,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-13,yes,-13,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-4,yes,-4,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-4,yes,-4,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-1,yes,-1,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-11,yes,-11,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-12,yes,-12,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-5,yes,-5,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,36,yes,36,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-5,yes,-5,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-8,yes,-8,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-13,yes,-13,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-17,yes,-17,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-16,yes,-16,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,2,yes,2,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,34,yes,34,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,147,yes,147,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,219,yes,219,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,97,yes,97,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,98,yes,98,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,7,yes,7,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,110,yes,110,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,44,yes,44,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,160,yes,160,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-1,yes,-1,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,25,yes,25,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,51,yes,51,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,87,yes,87,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,27,yes,27,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,41,yes,41,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,11,yes,11,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,165,yes,165,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,72,yes,72,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,84,yes,84,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,63,yes,63,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-4,yes,-4,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-5,yes,-5,
